"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","gpu__time_duration.sum","l1tex__throughput.avg.pct_of_peak_sustained_active","sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_active","smsp__average_warp_latency_per_inst_issued.ratio","smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio","smsp__average_warps_issue_stalled_branch_resolving_per_issue_active.ratio","smsp__average_warps_issue_stalled_dispatch_stall_per_issue_active.ratio","smsp__average_warps_issue_stalled_drain_per_issue_active.ratio","smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio","smsp__average_warps_issue_stalled_membar_per_issue_active.ratio","smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio","smsp__average_warps_issue_stalled_misc_per_issue_active.ratio","smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio","smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio","smsp__average_warps_issue_stalled_selected_per_issue_active.ratio","smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio","smsp__average_warps_issue_stalled_sleeping_per_issue_active.ratio","smsp__average_warps_issue_stalled_tex_throttle_per_issue_active.ratio","smsp__average_warps_issue_stalled_wait_per_issue_active.ratio"
"","","","","","","","","","","","%","%","us","%","%","cycle","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst"
"0","17438","bench","127.0.0.1","expand_block_mask_kernel(float *, const unsigned char *, int, int, int)","1","7","(16, 16, 1)","(64, 64, 1)","0","12.0","22.005933","0.224673","5.184000","17.313943","5.481055","23.389612","0.000000","0.118994","0.320005","0.450923","0.000000","13.182961","0.494375","0","0.842360","0.000000","2.106947","1.289988","1.000000","2.192447","0","0","2.063456"
"1","17438","bench","127.0.0.1","matmul_tiled_kernel(float *, float *, float *, int, int, int)","1","7","(32, 32, 1)","(24, 32, 1)","0","12.0","74.933586","1.931895","166.912000","90.365673","8.662507","33.817181","1.814445","0.068731","0.095200","0.014212","0.602911","3.256932","0.092082","0","21.039610","0.000000","0.134254","3.110341","1.000000","0.935168","0","0","1.789878"
"2","17438","bench","127.0.0.1","matmul_tiled_kernel(float *, float *, float *, int, int, int)","1","7","(32, 32, 1)","(24, 32, 1)","0","12.0","74.582793","1.924122","167.552000","90.344064","8.658575","33.823135","1.781949","0.068733","0.095098","0.014213","0.604435","3.265472","0.092113","0","21.042484","0.000000","0.133949","3.108767","1.000000","0.931327","0","0","1.790006"
"3","17438","bench","127.0.0.1","matmul_tiled_kernel(float *, float *, float *, int, int, int)","1","7","(32, 32, 1)","(24, 32, 1)","0","12.0","74.620394","1.926989","167.328000","89.950671","8.622420","33.824075","1.756835","0.068740","0.095093","0.014192","0.604145","3.167376","0.092155","0","21.042605","0.000000","0.133642","3.109063","1.000000","0.931337","0","0","1.790023"
"4","17438","bench","127.0.0.1","transpose_kernel(float *, float *, int, int)","1","7","(16, 16, 1)","(48, 64, 1)","0","12.0","55.706845","33.682077","5.504000","36.385982","0.859452","90.548823","0.000000","0.348518","0.063607","5.509249","0.000402","60.567070","0.026744","0","3.909861","0.000000","6.274149","0.638783","1.000000","5.298520","0","0","2.412507"
"5","17438","bench","127.0.0.1","scale_Q_kernel(float *, int, float)","1","7","(256, 1, 1)","(3072, 1, 1)","0","12.0","46.084382","46.084382","4.032000","13.570138","1.081591","93.892815","0.000000","0.501289","0.161405","1.673164","0.000000","68.042577","0.002825","0","3.698636","0.000000","7.848829","0.539581","1.000000","5.631765","0","0","2.937424"
"6","17438","bench","127.0.0.1","build_tile_mask_kernel(const float *, bool *, int, int, int)","1","7","(16, 16, 1)","(8, 8, 1)","0","12.0","28.329001","28.329001","8.320000","27.046569","1.701070","25.828050","0.000000","0.515795","0.025438","0.051106","0.000000","18.316938","0.004757","0","0.002234","0.000000","0.958250","0.024604","1.000000","0.588874","0","0","4.490438"
"7","17438","bench","127.0.0.1","bcsr_pass1_kernel(const bool *, int, int, int *)","1","7","(256, 1, 1)","(1, 1, 1)","0","12.0","2.768249","0.123239","10.240000","81.834514","0.019962","32.268750","0.000000","0.079167","0.003333","0.356667","4.266667","22.671250","0.001667","0","0.000000","0.000000","1.595000","0.000000","1.000000","0.368333","0","0","1.871667"
"8","17438","bench","127.0.0.1","bcsr_pass2_kernel(const bool *, int, int, const int *, int *, int *, int *)","1","7","(256, 1, 1)","(1, 1, 1)","0","12.0","0.914319","0.040145","31.008000","74.456936","0.209201","33.877584","0.000000","0.382879","0.137418","0.076778","0.036813","28.407337","0.001009","0","0.000000","0.000504","0.491049","0.000000","1.000000","0.877584","0","0","2.578921"
